edge_id,source,source_label,source_type,target,target_label,target_type,predicate,layer,assertion_count,source_count,source_ids,population,care_setting
edge:fc156cdd3540,concept:c324fd366ebb,Serum creatinine,clinical_concept,setting:a2ffebdb6db9,General inpatient,care_setting,Observed in care setting,care_setting_context,12,0,,,
edge:2d70be60eeed,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,concept:9462d97142c0,Chronic kidney disease,clinical_concept,Risk factor,empirical_assertion,11,10,PMID:28238158;PMID:31109328;PMID:31662875;PMID:33627796;PMID:35001794;PMID:35788616;PMID:37608237;PMID:39503057;PMID:39731504;PMID:42595820,Non-neonatal pediatric;Not specified;Pediatric age unclear,General inpatient;Not specified;Oncology or transplant;PICU
edge:3a712a8763f1,concept:eb6330a5cf69,Hemolytic uremic syndrome,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,11,0,,,
edge:5cd4e0800df9,concept:989fe9aa79c0,NGAL,clinical_concept,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,Diagnosis or staging,empirical_assertion,11,6,PMID:25716557;PMID:32332324;PMID:32479185;PMID:39736157;PMID:40713006;PMID:41169829,Neonatal;Non-neonatal pediatric;Not specified,Cardiac surgery;Not specified;Sepsis
edge:6a0cf252793a,concept:5f1b5d8e8f8c,SA-AKI,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,11,0,,,
edge:72a2dae65f66,concept:eb6330a5cf69,Hemolytic uremic syndrome,clinical_concept,population:0fd3b2c23bfc,Pediatric age unclear,population,Observed in population,population_context,11,0,,,
edge:aa7f6c184d6e,concept:68ea491b092f,acute renal failure,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,11,0,,,
edge:c30a574473ba,concept:66db9e71f7f8,Continuous kidney replacement therapy,clinical_concept,setting:90eace7f13ff,Kidney replacement therapy,care_setting,Observed in care setting,care_setting_context,11,0,,,
edge:e28d4719a999,concept:5f1b5d8e8f8c,SA-AKI,clinical_concept,setting:186238cccd6f,Sepsis,care_setting,Observed in care setting,care_setting_context,11,0,,,
edge:ef557ec654bd,concept:abb5d174afd9,MAKE-90,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,11,0,,,
edge:f5eb317e7455,concept:2061ae4227c6,contrast-induced acute kidney injury,clinical_concept,population:60f1e913db61,Not specified,population,Observed in population,population_context,11,0,,,
edge:00be3dc2c010,concept:e7b0cc281f13,severe acute kidney injury (AKI),clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,10,0,,,
edge:017edfe637e5,concept:7a4eb8dff375,infant,clinical_concept,setting:a2ffebdb6db9,General inpatient,care_setting,Observed in care setting,care_setting_context,10,0,,,
edge:3b137258c477,concept:4a168b54caad,postoperative AKI,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,10,0,,,
edge:5a6de3711c35,concept:156be6eb85c9,HUS,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,10,0,,,
edge:7dcd0865ddda,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,concept:90eace7f13ff,Kidney replacement therapy,clinical_concept,Management or intervention,empirical_assertion,10,10,PMID:30887109;PMID:31925716;PMID:33031348;PMID:33520894;PMID:34431538;PMID:36842880;PMID:37073177;PMID:38336457;PMID:39990882;PMID:40310119,Neonatal;Non-neonatal pediatric;Pediatric age unclear,Kidney replacement therapy;Not specified;PICU
edge:8171ad18a21f,concept:c324fd366ebb,Serum creatinine,clinical_concept,population:60f1e913db61,Not specified,population,Observed in population,population_context,10,0,,,
edge:9147c227b469,concept:83041302c0a8,infants,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,10,0,,,
edge:c763dcc21f83,concept:c044de379dff,Kidney Disease: Improving Global Outcomes criteria,clinical_concept,relation:fdd437d370c4,Diagnosis or staging,relation,Participates in relation,relation_context,10,0,,,
edge:cb322817594e,concept:90eace7f13ff,Kidney replacement therapy,clinical_concept,population:60f1e913db61,Not specified,population,Observed in population,population_context,10,0,,,
edge:e9c3f273ee2a,concept:97538d771d18,uNGAL,clinical_concept,population:60f1e913db61,Not specified,population,Observed in population,population_context,10,0,,,
edge:ee4c02d85cf4,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,concept:c324fd366ebb,Serum creatinine,clinical_concept,Diagnosis or staging,empirical_assertion,10,10,PMID:25876748;PMID:29508077;PMID:29678895;PMID:32039121;PMID:33282633;PMID:36411193;PMID:37586360;PMID:37843143;PMID:41055701;PMID:42448446,Neonatal;Non-neonatal pediatric;Not specified;Pediatric age unclear,Cardiac surgery;General inpatient;Not specified;PICU
edge:0973352cdd30,concept:c324fd366ebb,Serum creatinine,clinical_concept,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,Diagnosis or staging,empirical_assertion,9,9,PMID:22365170;PMID:28937056;PMID:31614137;PMID:35220310;PMID:36880931;PMID:37365422;PMID:37416842;PMID:39736157;PMID:40677412,Neonatal;Non-neonatal pediatric;Not specified;Pediatric age unclear,General inpatient;Not specified;PICU;Sepsis
edge:0d838056f234,concept:a5cc06456c35,NEC,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,9,0,,,
edge:1426d2c68dfc,concept:97538d771d18,uNGAL,clinical_concept,relation:837276742aa9,Prediction,relation,Participates in relation,relation_context,9,0,,,
edge:21b691645164,concept:66db9e71f7f8,Continuous kidney replacement therapy,clinical_concept,population:0fd3b2c23bfc,Pediatric age unclear,population,Observed in population,population_context,9,0,,,
edge:3c0f5cf28888,concept:faa0eb06e45f,MIS-C,clinical_concept,setting:a2ffebdb6db9,General inpatient,care_setting,Observed in care setting,care_setting_context,9,0,,,
edge:3f72b6760af3,concept:f7d635cfe882,morbidity and mortality,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,9,0,,,
