source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,semantic_auroc,semantic_average_precision,delta_auroc_vs_semantic
MIMIC-IV,eICU,state_xgboost,icu_death,18774,0.07750079897730905,0.8046673012120054,0.3720985792776787,0.05967717003018658,0.005942070367019312,-0.01440312704005388,0.988199793687791,0.06362414062023163,0.7168384879725086,0.7363589121773775,0.18595114993760029,0.9687048993543487,0.6621519698386592,0.1749175161745453,0.14251533137334615
eICU,MIMIC-III,kdigo_lookup,next_aki_progression,20108,0.1643624428088323,0.5642266802187456,0.184132689691489,0.13471119553366745,0.019709048414883107,0.6266441912078095,1.2822589719663589,0.16128146400641524,0.994553706505295,0.1336666071534845,0.1842075767765075,0.9920494699646644,0.5180498349522089,0.1670970135191751,0.04617684526653665
eICU,MIMIC-III,kdigo_lookup,next_aki_stage2_onset,17844,0.1842075767765075,0.5,0.1842075767765075,0.15080492076521712,0.023016848841283688,-0.39997395677975833,0.659715061568027,0.1611907279352238,1.0,0.0,0.1842075767765075,0.0,,,
eICU,MIMIC-III,kdigo_lookup,next_aki_stage3_onset,19389,0.004848109752952705,0.44382515589420696,0.0043719171756704586,0.004842466961245272,0.00422585526621572,-0.23120330618352194,1.085084159442397,0.009070974260987168,1.0,0.0,0.004848109752952705,0.0,,,
eICU,MIMIC-III,kdigo_lookup,hospital_death,20108,0.13412572110602744,0.5102407248670376,0.13656905524541266,0.11627445162902947,0.012767846875656436,-0.9530428535037471,0.4595117581444951,0.1260163440352207,0.9047089358546533,0.11527195451151571,0.13674064111185832,0.8864840989399293,0.6409374679430643,0.2178953904675423,-0.13069674307602663
eICU,MIMIC-III,kdigo_lookup,icu_death,20108,0.09563357867515417,0.5093599311748109,0.09728836414814984,0.0869129482867797,0.02128801667994308,-0.9402163668448206,0.5172740109759926,0.07688672620816804,0.9037961518460739,0.11432499312620291,0.0973996861690204,0.9182862190812721,0.6209229947421707,0.1532350987033948,-0.11156306356735979
eICU,MIMIC-III,state_logistic,next_aki_progression,20108,0.1643624428088323,0.6094458224312116,0.20389615723500465,0.1343171559262506,0.023096203858437435,-0.29678805589453705,0.8034242060958162,0.07467164210975172,0.9909228441754917,0.13890376718443134,0.18456943192064923,0.9873096446700508,0.5180498349522089,0.1670970135191751,0.09139598747900268
eICU,MIMIC-III,state_logistic,next_aki_stage2_onset,17844,0.1842075767765075,0.5548848406186656,0.20392901609521824,0.1499116393077848,0.017251197344313896,-0.5909839070059809,0.5913493496914903,0.16586046457290649,0.6982050501977487,0.3859311671360857,0.2042905465551006,0.8499243570347957,,,
eICU,MIMIC-III,state_logistic,next_aki_stage3_onset,19389,0.004848109752952705,0.7327568050371335,0.03661087550131309,0.004757517247061627,0.0017655933153165144,-0.1874804579598447,1.019606657789112,0.007720523159950973,0.5319148936170213,0.8102617258357088,0.013473457289140393,0.9971935195815793,,,
eICU,MIMIC-III,state_logistic,hospital_death,20108,0.13412572110602744,0.6846725995676044,0.3131764688201042,0.10811359990389031,0.032681440488283975,-0.49130714635986117,0.6725965225669005,0.09702739328145982,0.6421950315164998,0.634828556659583,0.21409147095179235,0.9197037776668331,0.6409374679430643,0.2178953904675423,0.043735131624540124
