source_database,target_database,model,endpoint,bin_mean_prediction,bin_event_rate,n
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.19699006917048661,0.21332670313276977,2011
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.2239570228289396,0.25111884634510195,2011
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.10981254013312632,0.10812324929971989,1785
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.127566492402166,0.1384529147982063,1784
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.1386293246423316,0.15582959641255606,1784
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.14792322638321992,0.1865546218487395,1785
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.15586616531549013,0.156390134529148,1784
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.16316304519572067,0.19562780269058297,1784
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.1704927624106741,0.20896358543417368,1785
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.1779901367349074,0.21917040358744394,1784
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.18726145315731588,0.21917040358744394,1784
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,0.204637425495129,0.253781512605042,1785
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.0003773855926087602,0.0005157297576070139,1939
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.0005175518036182142,0.0005157297576070139,1939
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.0008664509109384704,0.0025786487880350697,1939
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.001340304113924023,0.0030943785456420837,1939
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.0017114602093084832,0.0,1939
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.002143929656489269,0.0030959752321981426,1938
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.00281287551688942,0.005673027333677153,1939
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.004323950414404142,0.006188757091284167,1939
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.008447804053800585,0.005673027333677153,1939
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,0.033785417430533184,0.021144920061887573,1939
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.03647909225819124,0.04972650422675286,2011
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.04934599248702582,0.06464445549477872,2011
