evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,direction,endpoint_label
external,MIMIC-IV,eICU,semantic_transformer,hospital_death,18776,0.1245739241585002,0.6611127675408167,0.2398117856732932,0.1046264395117759,0.0176362727350477,M-IV → eICU,Hospital death
external,MIMIC-IV,eICU,semantic_transformer,icu_death,18774,0.077500798977309,0.6621519698386592,0.1749175161745453,0.0693054720759391,0.0119478447064939,M-IV → eICU,ICU death
external,eICU,MIMIC-III,demographic,next_aki_progression,20108,0.1643624428088323,0.4967597548272978,0.1636967281101028,0.1394868046045303,0.0214896304886739,eICU → M-III,AKI progression
external,eICU,MIMIC-III,demographic,next_aki_stage2plus,20108,0.2760592798886015,0.5331301707930833,0.2961779100624527,0.2257795929908752,0.1625916995738025,eICU → M-III,AKI stage 2+
external,eICU,MIMIC-III,demographic,next_aki_stage3,20108,0.0404316689874676,0.5908879962082855,0.0523087038617135,0.0534535683691501,0.1201239562431664,eICU → M-III,AKI stage 3
external,eICU,MIMIC-III,demographic,hospital_death,20108,0.1341257211060274,0.5414877148292517,0.1446100456910906,0.1157535165548324,0.0036539825115605,eICU → M-III,Hospital death
external,eICU,MIMIC-III,demographic,icu_death,20108,0.0956335786751541,0.487220928485201,0.09387671546041,0.0884057506918907,0.0424893335918172,eICU → M-III,ICU death
external,eICU,MIMIC-III,xgboost,next_aki_progression,20108,0.1643624428088323,0.5199069253446295,0.1694464387261741,0.2498187441658406,0.3348703151885572,eICU → M-III,AKI progression
external,eICU,MIMIC-III,xgboost,next_aki_stage2plus,20108,0.2760592798886015,0.5300265548655991,0.2904074976034272,0.2474119932691585,0.2189600477626861,eICU → M-III,AKI stage 2+
external,eICU,MIMIC-III,xgboost,next_aki_stage3,20108,0.0404316689874676,0.6156480896241976,0.0557009775520724,0.2007780650284829,0.4019793231497471,eICU → M-III,AKI stage 3
external,eICU,MIMIC-III,xgboost,hospital_death,20108,0.1341257211060274,0.6223707509606514,0.1921459345921832,0.2099618149278481,0.3076395290181772,eICU → M-III,Hospital death
external,eICU,MIMIC-III,xgboost,icu_death,20108,0.0956335786751541,0.5985155743870667,0.1267953512954616,0.1928872083553581,0.3260727163210811,eICU → M-III,ICU death
external,eICU,MIMIC-III,random_transformer,next_aki_progression,20108,0.1643624428088323,0.5230620423573594,0.1731274993788737,0.1437447816133499,0.0776043810578026,eICU → M-III,AKI progression
external,eICU,MIMIC-III,random_transformer,next_aki_stage2plus,20108,0.2760592798886015,0.5244589668426096,0.2869148109721595,0.2169658541679382,0.121816383500222,eICU → M-III,AKI stage 2+
external,eICU,MIMIC-III,random_transformer,next_aki_stage3,20108,0.0404316689874676,0.601166328325631,0.0551295539371337,0.0461074635386467,0.0842064798266579,eICU → M-III,AKI stage 3
external,eICU,MIMIC-III,random_transformer,hospital_death,20108,0.1341257211060274,0.6148919297542178,0.1860668482670247,0.1192670166492462,0.057404634391773,eICU → M-III,Hospital death
external,eICU,MIMIC-III,random_transformer,icu_death,20108,0.0956335786751541,0.5986486608213297,0.1296089608309391,0.0891333073377609,0.0487106248270627,eICU → M-III,ICU death
external,eICU,MIMIC-III,semantic_transformer,next_aki_progression,20108,0.1643624428088323,0.5180498349522089,0.1670970135191751,0.1395329236984253,0.0454351313438867,eICU → M-III,AKI progression
external,eICU,MIMIC-III,semantic_transformer,next_aki_stage2plus,20108,0.2760592798886015,0.5205022325904961,0.3004972566926029,0.2361645102500915,0.1835015269653304,eICU → M-III,AKI stage 2+
external,eICU,MIMIC-III,semantic_transformer,next_aki_stage3,20108,0.0404316689874676,0.6257906390932269,0.1631502333730048,0.0531063787639141,0.0980071100877475,eICU → M-III,AKI stage 3
external,eICU,MIMIC-III,semantic_transformer,hospital_death,20108,0.1341257211060274,0.6409374679430643,0.2178953904675423,0.1156083568930625,0.0508128363792515,eICU → M-III,Hospital death
external,eICU,MIMIC-III,semantic_transformer,icu_death,20108,0.0956335786751541,0.6209229947421707,0.1532350987033948,0.0878947526216507,0.0523471593497769,eICU → M-III,ICU death
external,eICU,MIMIC-IV,demographic,next_aki_progression,29267,0.1412854067721324,0.5141965488724973,0.1458683760720099,0.1220466718077659,0.0245352838039866,eICU → M-IV,AKI progression
external,eICU,MIMIC-IV,demographic,next_aki_stage2plus,29267,0.2857484538900468,0.5213017490111781,0.2988095906784433,0.2279619127511978,0.1549910745875055,eICU → M-IV,AKI stage 2+
external,eICU,MIMIC-IV,demographic,next_aki_stage3,29267,0.0450336556531246,0.5699279459318678,0.0566666547787813,0.0570982806384563,0.1163563350587294,eICU → M-IV,AKI stage 3
external,eICU,MIMIC-IV,demographic,hospital_death,29267,0.1215703693579799,0.5791348311847888,0.1567269057737786,0.1059581488370895,0.0099876475927016,eICU → M-IV,Hospital death
external,eICU,MIMIC-IV,demographic,icu_death,29262,0.0815733716082291,0.4732700655683401,0.0749239698662104,0.0754792541265487,0.0174666234162808,eICU → M-IV,ICU death
external,eICU,MIMIC-IV,xgboost,next_aki_progression,29267,0.1412854067721324,0.5235421978002098,0.1484765340178624,0.249936963463182,0.3582848111364143,eICU → M-IV,AKI progression
external,eICU,MIMIC-IV,xgboost,next_aki_stage2plus,29267,0.2857484538900468,0.5171036231566712,0.2951605277823663,0.2470867306074165,0.2076508638436571,eICU → M-IV,AKI stage 2+
external,eICU,MIMIC-IV,xgboost,next_aki_stage3,29267,0.0450336556531246,0.5881902360526496,0.0585236671764655,0.2005233557051825,0.3960500336501475,eICU → M-IV,AKI stage 3
external,eICU,MIMIC-IV,xgboost,hospital_death,29267,0.1215703693579799,0.6062229690977918,0.1679531791990449,0.2128251662588413,0.3247731140319164,eICU → M-IV,Hospital death
external,eICU,MIMIC-IV,xgboost,icu_death,29262,0.0815733716082291,0.5810471293147962,0.1027373408390879,0.1934290435640624,0.3430312240138415,eICU → M-IV,ICU death
external,eICU,MIMIC-IV,random_transformer,next_aki_progression,29267,0.1412854067721324,0.5014495459138987,0.1376912748886673,0.1293188780546188,0.0623817547204191,eICU → M-IV,AKI progression
external,eICU,MIMIC-IV,random_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.5152560672753561,0.2859922334378862,0.2266749143600464,0.1398553331183528,eICU → M-IV,AKI stage 2+
external,eICU,MIMIC-IV,random_transformer,next_aki_stage3,29267,0.0450336556531246,0.5357777587629668,0.055887276535199,0.0510923340916633,0.0760906040368091,eICU → M-IV,AKI stage 3
external,eICU,MIMIC-IV,random_transformer,hospital_death,29267,0.1215703693579799,0.5567922607487954,0.146764894454014,0.1191483810544014,0.0649976387493194,eICU → M-IV,Hospital death
external,eICU,MIMIC-IV,random_transformer,icu_death,29262,0.0815733716082291,0.529884954355472,0.0955546516792263,0.0869379863142967,0.0531426752338153,eICU → M-IV,ICU death
external,eICU,MIMIC-IV,semantic_transformer,next_aki_progression,29267,0.1412854067721324,0.524391363540049,0.1486485824876579,0.1239937394857406,0.0430628502624416,eICU → M-IV,AKI progression
external,eICU,MIMIC-IV,semantic_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.4992484790883834,0.2942191627438266,0.267629325389862,0.1831998031137214,eICU → M-IV,AKI stage 2+
external,eICU,MIMIC-IV,semantic_transformer,next_aki_stage3,29267,0.0450336556531246,0.6788859841231517,0.2095294673008335,0.1198978200554847,0.1945432307502921,eICU → M-IV,AKI stage 3
external,eICU,MIMIC-IV,semantic_transformer,hospital_death,29267,0.1215703693579799,0.6535770724927945,0.2269713714508466,0.1137067973613739,0.0595130868238017,eICU → M-IV,Hospital death
external,eICU,MIMIC-IV,semantic_transformer,icu_death,29262,0.0815733716082291,0.6619988113911595,0.1740991633698546,0.0797312557697296,0.0421745931198417,eICU → M-IV,ICU death
