source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,direction,endpoint_label
eICU,MIMIC-III,kdigo_lookup,hospital_death,20108,0.1341257211060274,0.5102407248670376,0.1365690552454126,0.1162744516290294,0.0127678468756564,-0.9530428535037472,0.4595117581444951,0.1260163440352207,0.9047089358546532,0.1152719545115157,0.1367406411118583,0.8864840989399293,eICU → M-III,Hospital death
eICU,MIMIC-III,kdigo_lookup,icu_death,20108,0.0956335786751541,0.5093599311748109,0.0972883641481498,0.0869129482867797,0.021288016679943,-0.9402163668448206,0.5172740109759926,0.076886726208168,0.903796151846074,0.1143249931262029,0.0973996861690204,0.918286219081272,eICU → M-III,ICU death
eICU,MIMIC-III,state_logistic,next_aki_progression,20108,0.1643624428088323,0.6094458224312116,0.2038961572350046,0.1343171559262506,0.0230962038584374,-0.296788055894537,0.8034242060958162,0.0746716421097517,0.9909228441754916,0.1389037671844313,0.1845694319206492,0.9873096446700508,eICU → M-III,AKI progression
eICU,MIMIC-III,state_logistic,next_aki_stage2_onset,17844,0.1842075767765075,0.5548848406186656,0.2039290160952182,0.1499116393077848,0.0172511973443138,-0.5909839070059809,0.5913493496914903,0.1658604645729064,0.6982050501977487,0.3859311671360857,0.2042905465551006,0.8499243570347957,eICU → M-III,Stage-2 onset
eICU,MIMIC-III,state_logistic,next_aki_stage3_onset,19389,0.0048481097529527,0.7327568050371335,0.036610875501313,0.0047575172470616,0.0017655933153165,-0.1874804579598447,1.019606657789112,0.0077205231599509,0.5319148936170213,0.8102617258357088,0.0134734572891403,0.9971935195815792,eICU → M-III,Stage-3 onset
eICU,MIMIC-III,state_logistic,hospital_death,20108,0.1341257211060274,0.6846725995676044,0.3131764688201042,0.1081135999038903,0.0326814404882839,-0.4913071463598611,0.6725965225669005,0.0970273932814598,0.6421950315164998,0.634828556659583,0.2140914709517923,0.9197037776668332,eICU → M-III,Hospital death
eICU,MIMIC-III,state_logistic,icu_death,20108,0.0956335786751541,0.7090211527075325,0.2840084924369218,0.0793479891465316,0.0255829246678306,-0.4673794519325646,0.6932336898101333,0.0669327779114246,0.6365054602184087,0.6988177069012923,0.1826593045814057,0.9478630566122176,eICU → M-III,ICU death
eICU,MIMIC-III,state_xgboost,next_aki_progression,20108,0.1643624428088323,0.6263070683923508,0.218263546812377,0.1334278919535767,0.0224468985697325,-0.2812752394787103,0.820746268746807,0.0895724717527628,0.9452344931921332,0.2273403558888293,0.1939529397156515,0.954761309672582,eICU → M-III,AKI progression
eICU,MIMIC-III,state_xgboost,next_aki_stage2_onset,17844,0.1842075767765075,0.5737012558648472,0.2202292843353396,0.1489819162762113,0.0175449271254012,-0.4351393211722377,0.6990940125887284,0.1589166516065597,0.7645269242470337,0.3414851961255753,0.2077031159599967,0.8652741514360314,eICU → M-III,Stage-2 onset
eICU,MIMIC-III,state_xgboost,next_aki_stage3_onset,19389,0.0048481097529527,0.7115165983911609,0.0210714668128344,0.0048043338884342,0.0030277309835584,0.7644881276363025,1.2750994539019171,0.0136984170600772,0.3829787234042553,0.8939621663643431,0.0172910662824207,0.9966487548390824,eICU → M-III,Stage-3 onset
eICU,MIMIC-III,state_xgboost,hospital_death,20108,0.1341257211060274,0.7171023300724463,0.3442824634430807,0.1049660036766139,0.0264951604300258,-0.3402680016330485,0.7581174036941608,0.1184190627932548,0.6188357434186132,0.6952501292286486,0.2392831541218638,0.9217239016218686,eICU → M-III,Hospital death
eICU,MIMIC-III,state_xgboost,icu_death,20108,0.0956335786751541,0.7440150209802728,0.3106407966711386,0.0773885421847869,0.0175996849214539,-0.2698813719437792,0.780818033462442,0.0832773894071579,0.6157046281851274,0.7429749793786088,0.202116763400478,0.948140350877193,eICU → M-III,ICU death
eICU,MIMIC-IV,kdigo_lookup,next_aki_progression,29267,0.1412854067721324,0.5801932375052468,0.1638680127412537,0.1183037577782991,0.0014760907004693,0.4023295958615026,1.2317591525503395,0.1612814640064152,0.9917775090689238,0.1682317364316409,0.1640071985602879,0.992022524636321,eICU → M-IV,AKI progression
eICU,MIMIC-IV,kdigo_lookup,next_aki_stage2_onset,25005,0.1640071985602879,0.5,0.1640071985602879,0.1371167698874761,0.0028164706250641,-0.4377663585216901,0.7220496617294239,0.1611907279352238,1.0,0.0,0.1640071985602879,0.0,eICU → M-IV,Stage-2 onset
eICU,MIMIC-IV,kdigo_lookup,next_aki_stage3_onset,28114,0.0058689620829479,0.4519806097036051,0.0053687724258929,0.00584479241008,0.0032049025165794,-0.2227311416284067,1.045327082412557,0.0090709742609871,1.0,0.0,0.0058689620829479,0.0,eICU → M-IV,Stage-3 onset
eICU,MIMIC-IV,kdigo_lookup,hospital_death,29267,0.1215703693579799,0.5121340896951658,0.1241126262204391,0.1066983749949137,0.0018429037757441,-0.7053009132784444,0.6363848147255985,0.1260163440352207,0.8729623383923553,0.1481971294099342,0.1242151569686062,0.8939465039887377,eICU → M-IV,Hospital death
eICU,MIMIC-IV,kdigo_lookup,icu_death,29262,0.0815733716082291,0.5115363801989459,0.083237666858488,0.0749056649592468,0.0081337356860051,-0.3239965650238339,0.826849733445361,0.076886726208168,0.8718056137410977,0.1472,0.08324,0.9282027217268888,eICU → M-IV,ICU death
eICU,MIMIC-IV,state_logistic,next_aki_progression,29267,0.1412854067721324,0.6254152199722828,0.1864600273308492,0.1187762551298473,0.0261641504319324,-0.3888992234731427,0.8297994058789344,0.0746716421097517,0.98863361547763,0.174876651281235,0.1646727089627391,0.989419180549302,eICU → M-IV,AKI progression
