evaluation,source_database,target_database,endpoint,model,auroc_lo,auroc_hi,delta_vs_semantic_lo,delta_vs_semantic_hi
lodo,MIMIC-III + eICU,MIMIC-IV,hospital_death,semantic_transformer,0.6716471923103311,0.6905012720265487,,
lodo,MIMIC-III + eICU,MIMIC-IV,icu_death,demographic,0.5668129343967486,0.5910675788295887,0.08980114957648007,0.1180097812287213
lodo,MIMIC-III + eICU,MIMIC-IV,icu_death,xgboost,0.650350718749601,0.6737140244972762,0.009123994533550273,0.030923275713410126
lodo,MIMIC-III + eICU,MIMIC-IV,icu_death,random_transformer,0.5973981680702387,0.6227184186734963,0.06004346415172935,0.08518341206864084
lodo,MIMIC-III + eICU,MIMIC-IV,icu_death,semantic_transformer,0.6720866634533706,0.6950682810052692,,
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,demographic,0.4965532937862208,0.520246799964593,-0.009334812907175468,0.02290680885724979
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,xgboost,0.5148633861979731,0.5377136100325917,-0.025134470364811014,0.0012749911733841892
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,random_transformer,0.522543393026983,0.5467464203409709,-0.033597942038551494,-0.00766343172943268
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,semantic_transformer,0.5011144686509812,0.5277799422139989,,
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,demographic,0.5189758027538317,0.5342367812896028,-0.0108875636965069,0.006038361895263639
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,xgboost,0.5209197559151657,0.5368978797071363,-0.011670725696843048,0.005016692867260953
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,0.513878756680246,0.5307863762978167,-0.007612927361719327,0.012119162736989235
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,0.5168408554534109,0.5320896960585466,,
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,demographic,0.5339495546653801,0.5546937107576562,0.017649158644188173,0.04073930760083655
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,xgboost,0.5435751199259867,0.5643505972244519,0.006031171541851333,0.030289983988971394
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,random_transformer,0.5399030229991264,0.5595870659561865,0.01201968237090276,0.033190571710278165
lodo,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,0.5622535717396377,0.5855405297014944,,
lodo,MIMIC-III + MIMIC-IV,eICU,hospital_death,demographic,0.5766765497089018,0.5993221894365681,0.048620245462551656,0.07211100678442971
lodo,MIMIC-III + MIMIC-IV,eICU,hospital_death,xgboost,0.5751233222854516,0.5980508091013881,0.05023486520736813,0.07368905496068939
lodo,MIMIC-III + MIMIC-IV,eICU,hospital_death,random_transformer,0.5741088286783326,0.5984819436652318,0.05142061491693125,0.07551686539232084
lodo,MIMIC-III + MIMIC-IV,eICU,hospital_death,semantic_transformer,0.63723318863843,0.6612970615980045,,
lodo,MIMIC-III + MIMIC-IV,eICU,icu_death,demographic,0.542244301762123,0.5723867161773294,0.07026126539762914,0.10417789227425295
lodo,MIMIC-III + MIMIC-IV,eICU,icu_death,xgboost,0.5435423095901022,0.5739734385080905,0.06897700998063921,0.10399945506796371
lodo,MIMIC-III + MIMIC-IV,eICU,icu_death,random_transformer,0.5398535809384918,0.5697737954313505,0.07334832245426626,0.10798800893964858
lodo,MIMIC-III + MIMIC-IV,eICU,icu_death,semantic_transformer,0.6318375430347013,0.6615209660829301,,
